ap_invoice_id,date_key,due_date_key,paid_date_key,entity_id,cost_center_id,account_id,invoice_amount,currency
1,20241123,20250106,20250116,1,30,3,685.14,CZK
2,20250901,20251001,20251008,1,30,4,806.07,CZK
3,20240624,20240709,20240716,1,10,5,9037.58,CZK
4,20240618,20240708,20240716,1,20,8,1314.81,CZK
5,20250228,20250328,20250409,1,20,3,1001.99,CZK
6,20250801,20250905,20250904,1,30,8,925.08,CZK
7,20250902,20250924,20250926,1,20,5,11790.62,CZK
8,20250408,20250506,20250518,2,10,3,755.14,EUR
9,20240510,20240528,20240606,1,10,3,1005.84,CZK
10,20241212,20250121,20250128,2,10,6,2875.79,EUR
11,20260107,20260128,20260210,2,10,5,7997.34,EUR
12,20240729,20240828,20240827,1,10,3,1214.35,CZK
13,20250924,20251108,20251111,1,10,6,5962.31,CZK
14,20250918,20251015,20251029,1,10,4,801.07,CZK
15,20240204,20240306,20240304,1,40,3,835.8,CZK
16,20240308,20240325,20240328,1,30,6,4434.8,CZK
17,20240821,20240907,20240921,1,20,3,756.47,CZK
18,20250318,20250424,20250506,1,10,3,1213.8,CZK
19,20250111,20250203,20250204,1,20,8,246.17,CZK
20,20240331,20240423,20240507,1,30,4,583.2,CZK
21,20241208,20241225,20250102,1,10,4,2004.64,CZK
22,20240310,20240402,20240411,1,20,5,11703.58,CZK
23,20250807,20250908,20250916,1,20,4,59.93,CZK
24,20240108,20240208,20240220,1,10,3,688.71,CZK
25,20240418,20240514,,2,30,3,650.12,EUR
26,20251205,20260115,20260113,1,30,4,1499.4,CZK
27,20250724,20250819,,2,40,6,5900.42,EUR
28,20240902,20240925,20240929,1,10,4,654.23,CZK
29,20250908,20250929,20251006,2,30,4,949.46,EUR
30,20240814,20240911,20240917,2,40,3,645.35,EUR
31,20241202,20241225,20250101,2,40,6,5404.4,EUR
32,20241015,20241029,20241107,2,10,8,448.08,EUR
33,20240117,20240208,20240213,2,30,3,511.62,EUR
34,20240125,20240307,20240317,1,20,3,1396.25,CZK
35,20240725,20240825,20240827,1,10,7,1475.9,CZK
36,20250918,20251002,20251010,2,30,6,5895.89,EUR
37,20250904,20250927,20251010,1,30,4,702.79,CZK
38,20240613,20240630,20240707,1,30,4,970.28,CZK
39,20250406,20250421,20250422,1,20,4,732.33,CZK
40,20251008,20251105,20251109,1,30,5,6121.15,CZK
41,20251014,20251121,20251119,1,40,6,4474.37,CZK
42,20250830,20251014,20251026,1,10,3,623.79,CZK
43,20250710,20250817,20250831,1,20,3,775.42,CZK
44,20250822,20250907,,2,10,3,983.49,EUR
45,20240704,20240806,20240817,1,10,7,1236.01,CZK
46,20251031,20251212,20251214,1,20,5,7670.63,CZK
47,20250520,20250606,20250608,1,30,4,1342.47,CZK
48,20241007,20241106,20241117,2,10,4,336.34,EUR
49,20250414,20250525,20250523,1,10,3,427.46,CZK
50,20251121,20251215,20251229,1,10,3,810.21,CZK
51,20241023,20241126,20241208,1,10,4,1225.67,CZK
52,20250812,20250916,20250918,2,30,8,1371.94,EUR
53,20241020,20241118,20241124,1,10,3,1586.85,CZK
54,20240603,20240702,,1,10,4,787.98,CZK
55,20250113,20250224,20250224,2,30,6,4168.79,EUR
56,20240924,20241029,20241109,1,10,6,6080.44,CZK
57,20241010,20241024,20241025,1,10,4,1377.66,CZK
58,20250823,20250918,20250921,1,20,3,1736.19,CZK
59,20250111,20250213,20250211,1,10,3,1173.55,CZK
60,20251222,20260124,,2,10,3,1337.98,EUR
61,20241006,20241111,20241116,2,10,5,13346.62,EUR
62,20240513,20240528,,1,10,5,7767.62,CZK
