invoice_id,date_key,due_date_key,paid_date_key,entity_id,customer_id,invoice_amount,currency
1,20240101,20240106,20240106,1,16,6353.37,CZK
2,20240101,20240103,20240104,1,69,172.99,CZK
3,20240101,20240102,20240109,1,79,2962.79,CZK
4,20240101,20240105,,1,86,1474.77,CZK
5,20240101,20240204,20240222,1,105,4181.83,CZK
6,20240101,20240106,20240105,1,114,9274.21,CZK
7,20240101,20240106,20240106,1,149,832.32,CZK
8,20240101,20240102,20240109,1,156,6561.98,CZK
9,20240101,20240212,20240215,1,160,6474.08,CZK
10,20240101,20240102,,1,165,6048.27,CZK
11,20240101,20240101,20240106,1,169,3535.76,CZK
12,20240101,20240101,20240107,1,197,529.22,CZK
13,20240101,20240108,20240115,1,205,4385.92,CZK
14,20240101,20240106,20240110,1,218,480.95,CZK
15,20240101,20240101,20240108,1,225,248.53,CZK
16,20240101,20240107,20240110,1,245,1821.38,CZK
17,20240101,20240103,20240102,1,269,173.67,CZK
18,20240101,20240108,20240112,1,286,1474.66,CZK
19,20240101,20240102,20240107,1,289,2087.44,CZK
20,20240101,20240108,20240112,1,292,3346.1499999999996,CZK
21,20240101,20240104,20240106,1,341,117.92,CZK
22,20240101,20240102,20240105,1,385,1513.2,CZK
23,20240101,20240107,20240112,1,394,6487.45,CZK
24,20240101,20240105,20240110,1,433,2773.26,CZK
25,20240101,20240101,20231231,1,472,345.28,CZK
26,20240101,20240101,,1,488,2456.68,CZK
27,20240101,20240108,,1,514,4423.26,CZK
28,20240101,20240106,20240107,1,537,2655.91,CZK
29,20240101,20240209,20240219,1,541,107.34,CZK
30,20240101,20240108,20240109,1,547,2920.88,CZK
31,20240101,20240103,20240105,1,548,122.21,CZK
32,20240101,20240108,20240114,1,570,1419.23,CZK
33,20240101,20240101,20240104,1,573,464.59,CZK
34,20240101,20240129,20240217,1,614,116.18,CZK
35,20240101,20240105,20240108,1,636,1388.54,CZK
36,20240101,20240108,20240115,1,647,3118.65,CZK
37,20240101,20240108,20240115,1,742,1663.75,CZK
38,20240101,20240101,20240108,1,773,3000.14,CZK
39,20240101,20240108,20240109,1,820,1898.45,CZK
40,20240101,20240106,20240109,1,828,254.9,CZK
41,20240101,20240104,,1,844,5123.33,CZK
42,20240101,20240105,20240107,1,851,1401.75,CZK
43,20240101,20240214,20240301,1,863,164.13,CZK
44,20240101,20240103,20240107,1,884,6230.42,CZK
45,20240101,20240108,20240113,1,887,1515.23,CZK
46,20240101,20240201,20240129,1,915,475.52,CZK
47,20240101,20240101,20231231,1,917,3706.81,CZK
48,20240101,20240101,20240105,1,931,3478.06,CZK
49,20240101,20240101,20240107,1,997,6254.69,CZK
50,20240101,20240107,20240109,1,1008,316.58,CZK
51,20240101,20240106,20240106,1,1009,164.68,CZK
52,20240101,20240102,20240102,1,1011,4222.52,CZK
53,20240101,20240107,20240112,1,1041,112.88,CZK
54,20240101,20240102,20240105,1,1042,157.46,CZK
55,20240101,20240105,20240111,1,1094,3413.0,CZK
56,20240101,20240213,20240213,1,1098,166.34,CZK
57,20240101,20240213,20240211,1,1109,210.02,CZK
58,20240101,20240127,20240213,1,1148,5881.42,CZK
59,20240101,20240207,,1,1163,6284.55,CZK
60,20240101,20240106,20240111,1,1179,2099.88,CZK
61,20240101,20240101,20240104,2,51,3461.05,EUR
62,20240101,20240210,20240207,2,105,4629.92,EUR
63,20240101,20240131,20240218,2,151,8822.24,EUR
64,20240101,20240206,20240213,2,178,241.6,EUR
