bank_txn_id,date_key,entity_id,txn_type,amount,currency
1,20240405,2,RECEIPT_AR,4158.89,EUR
2,20240704,1,RECEIPT_AR,1645.96,CZK
3,20250906,1,RECEIPT_AR,3083.62,CZK
4,20250415,1,RECEIPT_AR,1775.77,CZK
5,20251025,1,RECEIPT_AR,518.07,CZK
6,20241218,1,RECEIPT_AR,644.34,CZK
7,20250418,2,RECEIPT_AR,5347.03,EUR
8,20241217,1,RECEIPT_AR,3975.3,CZK
9,20240528,2,RECEIPT_AR,4581.3,EUR
10,20250313,1,RECEIPT_AR,10592.29,CZK
11,20250912,1,RECEIPT_AR,424.63,CZK
12,20240821,1,RECEIPT_AR,9241.48,CZK
13,20250211,2,RECEIPT_AR,6208.09,EUR
14,20250530,1,RECEIPT_AR,1676.66,CZK
15,20240919,2,RECEIPT_AR,1693.86,EUR
16,20240711,2,RECEIPT_AR,3832.52,EUR
17,20240325,2,RECEIPT_AR,7011.78,EUR
18,20250727,1,RECEIPT_AR,2727.14,CZK
19,20240603,1,RECEIPT_AR,1489.97,CZK
20,20251119,2,RECEIPT_AR,360.44,EUR
21,20240717,1,RECEIPT_AR,186.84,CZK
22,20250913,1,RECEIPT_AR,746.28,CZK
23,20250203,1,RECEIPT_AR,365.88,CZK
24,20240629,1,RECEIPT_AR,4426.41,CZK
25,20250828,1,RECEIPT_AR,5919.81,CZK
26,20251106,2,RECEIPT_AR,4555.1,EUR
27,20250607,1,RECEIPT_AR,3139.63,CZK
28,20240502,1,RECEIPT_AR,138.38,CZK
29,20240116,2,RECEIPT_AR,310.46,EUR
30,20240320,2,RECEIPT_AR,2153.49,EUR
31,20260115,1,RECEIPT_AR,1745.46,CZK
32,20240316,2,RECEIPT_AR,3857.2,EUR
33,20250119,2,RECEIPT_AR,2374.46,EUR
34,20240817,2,RECEIPT_AR,780.3,EUR
35,20250205,1,RECEIPT_AR,4135.53,CZK
36,20250128,1,RECEIPT_AR,3053.6,CZK
37,20250929,1,RECEIPT_AR,5252.94,CZK
38,20251231,2,RECEIPT_AR,5988.68,EUR
39,20260114,1,RECEIPT_AR,345.41,CZK
40,20250525,2,RECEIPT_AR,435.04,EUR
41,20260110,1,RECEIPT_AR,750.63,CZK
42,20251111,1,RECEIPT_AR,181.06,CZK
43,20240724,1,RECEIPT_AR,1475.01,CZK
44,20251128,2,RECEIPT_AR,3544.19,EUR
45,20241229,1,RECEIPT_AR,5429.57,CZK
46,20240520,1,RECEIPT_AR,1688.92,CZK
47,20240424,1,RECEIPT_AR,6683.5,CZK
48,20251220,1,RECEIPT_AR,5244.93,CZK
49,20240926,1,RECEIPT_AR,311.59,CZK
50,20250207,2,RECEIPT_AR,2644.41,EUR
51,20240322,1,RECEIPT_AR,124.8,CZK
