gl_entry_id,date_key,entity_id,account_id,cost_center_id,amount,currency
1,20240101,1,1,0,117177.03141793197,CZK
2,20240101,1,2,0,33870.348582068036,CZK
3,20240101,1,3,0,-42195.63093184922,CZK
4,20240101,1,4,0,-27812.009068150775,CZK
5,20240101,2,1,0,40814.95641282133,EUR
6,20240101,2,2,0,12316.54358717867,EUR
7,20240101,2,3,0,-12537.760947941244,EUR
8,20240101,2,4,0,-12444.479052058754,EUR
9,20240102,1,1,0,121200.26191060714,CZK
10,20240102,1,2,0,34747.35808939286,CZK
11,20240102,1,3,0,-46228.420791507066,CZK
12,20240102,1,4,0,-25284.269208492933,CZK
13,20240102,2,1,0,37343.40551848366,EUR
14,20240102,2,2,0,10177.55448151634,EUR
15,20240102,2,3,0,-11791.405615667687,EUR
16,20240102,2,4,0,-10123.384384332314,EUR
17,20240103,1,1,0,95946.23328017844,CZK
18,20240103,1,2,0,46618.21671982157,CZK
19,20240103,1,3,0,-35416.62330647726,CZK
20,20240103,1,4,0,-30750.48669352274,CZK
21,20240103,2,1,0,41548.71815099869,EUR
22,20240103,2,2,0,20898.261849001312,EUR
23,20240103,2,3,0,-16418.812594739564,EUR
24,20240103,2,4,0,-12468.627405260435,EUR
25,20240104,1,1,0,105017.27959542198,CZK
26,20240104,1,2,0,52382.59040457802,CZK
27,20240104,1,3,0,-41257.71006722594,CZK
28,20240104,1,4,0,-28068.46993277405,CZK
29,20240104,2,1,0,45234.66940984285,EUR
30,20240104,2,2,0,12163.250590157148,EUR
31,20240104,2,3,0,-15602.625201060351,EUR
32,20240104,2,4,0,-10713.16479893965,EUR
33,20240105,1,1,0,124004.09126385809,CZK
34,20240105,1,2,0,51514.3687361419,CZK
35,20240105,1,3,0,-44494.071565568825,CZK
36,20240105,1,4,0,-35787.288434431175,CZK
37,20240105,2,1,0,49088.078119294674,EUR
38,20240105,2,2,0,19587.621880705323,EUR
39,20240105,2,3,0,-16307.970071083993,EUR
40,20240105,2,4,0,-14678.139928916007,EUR
41,20240106,1,1,0,78946.84969866625,CZK
42,20240106,1,2,0,37388.25030133375,CZK
43,20240106,1,3,0,-33385.600129812934,CZK
44,20240106,1,4,0,-21532.549870187067,CZK
45,20240106,2,1,0,43772.648149604844,EUR
46,20240106,2,2,0,11326.001850395152,EUR
47,20240106,2,3,0,-12884.846263586129,EUR
48,20240106,2,4,0,-10602.653736413871,EUR
49,20240107,1,1,0,89647.66737797258,CZK
50,20240107,1,2,0,35670.2926220274,CZK
51,20240107,1,3,0,-31883.412800932587,CZK
52,20240107,1,4,0,-26607.997199067417,CZK
53,20240107,2,1,0,33776.9423519984,EUR
54,20240107,2,2,0,17587.947648001606,EUR
55,20240107,2,3,0,-14008.99425077443,EUR
56,20240107,2,4,0,-9959.035749225568,EUR
57,20240108,1,1,0,135892.54716919342,CZK
58,20240108,1,2,0,37983.35283080659,CZK
59,20240108,1,3,0,-40159.16346055616,CZK
60,20240108,1,4,0,-39548.52653944384,CZK
61,20240108,2,1,0,45980.85168010214,EUR
62,20240108,2,2,0,11882.358319897861,EUR
63,20240108,2,3,0,-12968.39162756407,EUR
64,20240108,2,4,0,-12649.90837243593,EUR
65,20240109,1,1,0,141790.97463720676,CZK
66,20240109,1,2,0,42346.58536279325,CZK
67,20240109,1,3,0,-53512.73950744522,CZK
68,20240109,1,4,0,-33101.68049255478,CZK
69,20240109,2,1,0,27981.51367095996,EUR
70,20240109,2,2,0,12671.826329040045,EUR
71,20240109,2,3,0,-9422.31924831889,EUR
72,20240109,2,4,0,-9063.210751681108,EUR
73,20240110,1,1,0,77225.01642223037,CZK
74,20240110,1,2,0,25278.793577769622,CZK
75,20240110,1,3,0,-27862.252768251383,CZK
76,20240110,1,4,0,-20801.50723174862,CZK
77,20240110,2,1,0,57674.53430595979,EUR
78,20240110,2,2,0,23114.975694040204,EUR
79,20240110,2,3,0,-18932.173051285972,EUR
80,20240110,2,4,0,-16956.12694871403,EUR
81,20240111,1,1,0,133436.1399024493,CZK
82,20240111,1,2,0,49953.200097550696,CZK
83,20240111,1,3,0,-42628.93704444238,CZK
84,20240111,1,4,0,-41826.91295555763,CZK
85,20240111,2,1,0,31647.609218938713,EUR
