plan_line_id,version,month_key,entity_id,cost_center_id,account_id,amount
1,PLAN_2026,20250101,1,10,1,327889.55
2,PLAN_2026,20250101,1,20,1,434603.68
3,PLAN_2026,20250101,1,10,2,434486.01
4,PLAN_2026,20250101,1,20,2,404284.69
5,PLAN_2026,20250101,1,10,3,-120525.24
6,PLAN_2026,20250101,1,10,4,-154962.58
7,PLAN_2026,20250101,1,10,5,-66176.74
8,PLAN_2026,20250101,1,20,5,-72928.27
9,PLAN_2026,20250101,1,30,5,-79348.85
10,PLAN_2026,20250101,1,40,5,-76213.08
11,PLAN_2026,20250101,1,10,6,-71443.08
12,PLAN_2026,20250101,1,20,6,-72418.49
13,PLAN_2026,20250101,1,30,6,-66381.85
14,PLAN_2026,20250101,1,40,6,-69865.55
15,PLAN_2026,20250101,1,10,7,-60326.98
16,PLAN_2026,20250101,1,20,7,-88443.92
17,PLAN_2026,20250101,1,30,7,-69634.24
18,PLAN_2026,20250101,1,40,7,-61891.63
19,PLAN_2026,20250101,1,10,8,-72798.88
20,PLAN_2026,20250101,1,20,8,-66390.15
21,PLAN_2026,20250101,1,30,8,-32512.12
22,PLAN_2026,20250101,1,40,8,-66393.94
23,PLAN_2026,20250101,2,10,1,184445.1
24,PLAN_2026,20250101,2,20,1,185574.11
25,PLAN_2026,20250101,2,10,2,216017.61
26,PLAN_2026,20250101,2,20,2,186441.76
27,PLAN_2026,20250101,2,10,3,-47259.05
28,PLAN_2026,20250101,2,10,4,-57931.06
29,PLAN_2026,20250101,2,10,5,-84922.25
30,PLAN_2026,20250101,2,20,5,-78835.77
31,PLAN_2026,20250101,2,30,5,-76330.43
32,PLAN_2026,20250101,2,40,5,-49809.98
33,PLAN_2026,20250101,2,10,6,-75099.14
34,PLAN_2026,20250101,2,20,6,-44185.9
35,PLAN_2026,20250101,2,30,6,-60473.55
36,PLAN_2026,20250101,2,40,6,-77667.34
37,PLAN_2026,20250101,2,10,7,-82307.96
38,PLAN_2026,20250101,2,20,7,-86994.17
39,PLAN_2026,20250101,2,30,7,-74479.9
40,PLAN_2026,20250101,2,40,7,-65325.82
41,PLAN_2026,20250101,2,10,8,-73658.14
42,PLAN_2026,20250101,2,20,8,-81882.68
43,PLAN_2026,20250101,2,30,8,-65399.28
44,PLAN_2026,20250101,2,40,8,-68412.2
45,PLAN_2026,20250201,1,10,1,444315.32
46,PLAN_2026,20250201,1,20,1,407920.33
47,PLAN_2026,20250201,1,10,2,459578.65
48,PLAN_2026,20250201,1,20,2,470442.19
49,PLAN_2026,20250201,1,10,3,-134151.01
50,PLAN_2026,20250201,1,10,4,-80097.9
51,PLAN_2026,20250201,1,10,5,-55844.0
52,PLAN_2026,20250201,1,20,5,-67715.87
53,PLAN_2026,20250201,1,30,5,-135283.93
54,PLAN_2026,20250201,1,40,5,-73672.06
55,PLAN_2026,20250201,1,10,6,-45345.03
56,PLAN_2026,20250201,1,20,6,-43719.65
57,PLAN_2026,20250201,1,30,6,-65524.27
58,PLAN_2026,20250201,1,40,6,-76596.9
59,PLAN_2026,20250201,1,10,7,-45611.0
60,PLAN_2026,20250201,1,20,7,-65479.58
61,PLAN_2026,20250201,1,30,7,-55209.58
62,PLAN_2026,20250201,1,40,7,-81075.72
63,PLAN_2026,20250201,1,10,8,-63908.49
64,PLAN_2026,20250201,1,20,8,-36523.9
65,PLAN_2026,20250201,1,30,8,-70756.6
66,PLAN_2026,20250201,1,40,8,-98831.97
67,PLAN_2026,20250201,2,10,1,210576.87
68,PLAN_2026,20250201,2,20,1,160374.57
69,PLAN_2026,20250201,2,10,2,279293.97
70,PLAN_2026,20250201,2,20,2,125669.48
71,PLAN_2026,20250201,2,10,3,-64958.56
72,PLAN_2026,20250201,2,10,4,-90420.01
73,PLAN_2026,20250201,2,10,5,-73582.16
74,PLAN_2026,20250201,2,20,5,-74351.04
75,PLAN_2026,20250201,2,30,5,-140272.4
76,PLAN_2026,20250201,2,40,5,-57757.59
77,PLAN_2026,20250201,2,10,6,-81260.82
78,PLAN_2026,20250201,2,20,6,-77212.12
79,PLAN_2026,20250201,2,30,6,-58591.56
80,PLAN_2026,20250201,2,40,6,-56064.89
81,PLAN_2026,20250201,2,10,7,-67626.9
82,PLAN_2026,20250201,2,20,7,-49246.98
83,PLAN_2026,20250201,2,30,7,-56923.2
84,PLAN_2026,20250201,2,40,7,-81374.27
85,PLAN_2026,20250201,2,10,8,-66234.04
86,PLAN_2026,20250201,2,20,8,-58595.52
87,PLAN_2026,20250201,2,30,8,-62377.6
88,PLAN_2026,20250201,2,40,8,-59902.16
89,PLAN_2026,20250301,1,10,1,445485.29
90,PLAN_2026,20250301,1,20,1,408691.37
91,PLAN_2026,20250301,1,10,2,498561.61
92,PLAN_2026,20250301,1,20,2,381034.15
93,PLAN_2026,20250301,1,10,3,-113214.27
94,PLAN_2026,20250301,1,10,4,-132630.45
95,PLAN_2026,20250301,1,10,5,-91153.57
96,PLAN_2026,20250301,1,20,5,-76657.11
97,PLAN_2026,20250301,1,30,5,-135701.43
98,PLAN_2026,20250301,1,40,5,-80967.6
99,PLAN_2026,20250301,1,10,6,-66168.32
100,PLAN_2026,20250301,1,20,6,-82254.07
101,PLAN_2026,20250301,1,30,6,-65931.28
102,PLAN_2026,20250301,1,40,6,-72772.72
103,PLAN_2026,20250301,1,10,7,-89335.52
104,PLAN_2026,20250301,1,20,7,-72677.39
105,PLAN_2026,20250301,1,30,7,-94437.45
106,PLAN_2026,20250301,1,40,7,-70283.82
107,PLAN_2026,20250301,1,10,8,-85003.9
108,PLAN_2026,20250301,1,20,8,-70121.36
109,PLAN_2026,20250301,1,30,8,-72633.82
110,PLAN_2026,20250301,1,40,8,-70722.56
111,PLAN_2026,20250301,2,10,1,219280.94
112,PLAN_2026,20250301,2,20,1,157271.42
113,PLAN_2026,20250301,2,10,2,135924.39
114,PLAN_2026,20250301,2,20,2,181519.54
115,PLAN_2026,20250301,2,10,3,-51018.24
116,PLAN_2026,20250301,2,10,4,-51928.87
117,PLAN_2026,20250301,2,10,5,-89190.6
118,PLAN_2026,20250301,2,20,5,-65233.43
119,PLAN_2026,20250301,2,30,5,-109533.7
120,PLAN_2026,20250301,2,40,5,-78760.89
121,PLAN_2026,20250301,2,10,6,-83625.05
122,PLAN_2026,20250301,2,20,6,-71174.25
123,PLAN_2026,20250301,2,30,6,-80046.56
124,PLAN_2026,20250301,2,40,6,-64768.77
125,PLAN_2026,20250301,2,10,7,-63545.91
126,PLAN_2026,20250301,2,20,7,-87850.13
127,PLAN_2026,20250301,2,30,7,-49904.67
128,PLAN_2026,20250301,2,40,7,-86336.84
129,PLAN_2026,20250301,2,10,8,-78370.15
130,PLAN_2026,20250301,2,20,8,-89815.04
131,PLAN_2026,20250301,2,30,8,-57763.15
132,PLAN_2026,20250301,2,40,8,-85797.41
133,PLAN_2026,20250401,1,10,1,336698.97
134,PLAN_2026,20250401,1,20,1,402753.73
135,PLAN_2026,20250401,1,10,2,368090.69
136,PLAN_2026,20250401,1,20,2,502238.64
137,PLAN_2026,20250401,1,10,3,-142271.18
138,PLAN_2026,20250401,1,10,4,-128885.81
139,PLAN_2026,20250401,1,10,5,-73964.44
140,PLAN_2026,20250401,1,20,5,-75344.16
141,PLAN_2026,20250401,1,30,5,-97723.64
142,PLAN_2026,20250401,1,40,5,-77623.61
143,PLAN_2026,20250401,1,10,6,-62309.29
144,PLAN_2026,20250401,1,20,6,-67717.12
145,PLAN_2026,20250401,1,30,6,-74557.0
146,PLAN_2026,20250401,1,40,6,-78258.05
147,PLAN_2026,20250401,1,10,7,-82922.53
148,PLAN_2026,20250401,1,20,7,-34345.37
149,PLAN_2026,20250401,1,30,7,-59217.47
150,PLAN_2026,20250401,1,40,7,-81618.07
151,PLAN_2026,20250401,1,10,8,-69224.51
152,PLAN_2026,20250401,1,20,8,-80464.32
153,PLAN_2026,20250401,1,30,8,-72566.98
154,PLAN_2026,20250401,1,40,8,-40233.48
