sales_line_id,date_key,entity_id,customer_id,product_id,channel_id,qty,net_unit_price,net_amount,cogs_amount,currency
1,20250404,1,233,1,2,2,1462.6,2925.2,1294.84,CZK
2,20250323,1,862,4,2,1,190.09,190.09,108.05,CZK
3,20240615,2,544,5,2,2,164.22,328.45,160.04,EUR
4,20250817,1,1091,2,3,2,2788.65,5577.31,1731.8,CZK
5,20250603,1,139,4,1,1,262.32,262.32,112.07,CZK
6,20250719,2,1174,5,3,1,164.28,164.28,75.36,EUR
7,20241217,2,278,2,3,1,2516.27,2516.27,809.22,EUR
8,20251101,1,1199,4,1,2,214.85,429.69,214.12,CZK
9,20241019,1,1173,2,1,2,2351.22,4702.45,1835.75,CZK
10,20250828,1,720,2,3,3,2674.21,8022.64,2747.19,CZK
11,20240601,2,498,5,3,3,160.94,482.83,243.16,EUR
12,20240704,1,741,4,2,1,240.43,240.43,107.39,CZK
13,20250130,2,334,1,3,1,1386.83,1386.83,598.93,EUR
14,20250221,1,1084,4,3,2,160.46,320.92,224.77,CZK
15,20250714,2,124,2,1,1,2975.43,2975.43,925.39,EUR
16,20240811,1,200,2,1,3,3021.46,9064.39,2647.45,CZK
17,20251017,1,1055,4,3,3,201.51,604.52,304.17,CZK
18,20240904,2,52,2,1,3,2307.27,6921.82,2688.83,EUR
19,20250205,2,782,1,1,1,1487.93,1487.93,639.45,EUR
20,20251130,2,662,4,3,1,193.94,193.94,108.82,EUR
21,20250209,1,766,1,1,1,1500.45,1500.45,642.6,CZK
22,20250527,1,773,2,1,2,2352.84,4705.69,1852.45,CZK
23,20251113,2,1187,1,1,3,1692.44,5077.33,1963.82,EUR
24,20260101,1,350,4,1,1,182.88,182.88,110.99,CZK
25,20250110,1,944,2,2,1,1757.4,1757.4,819.2,CZK
26,20241109,1,718,4,4,2,219.33,438.66,224.93,CZK
27,20240527,1,791,1,1,1,1732.29,1732.29,603.45,CZK
28,20250207,1,1110,4,4,1,177.64,177.64,118.1,CZK
29,20251120,1,1079,1,1,2,1752.36,3504.72,1234.3,CZK
30,20241231,2,768,2,3,2,2443.77,4887.54,1866.36,EUR
31,20240918,1,189,6,3,2,525.94,1051.88,622.06,CZK
32,20240321,1,1139,1,1,1,1736.19,1736.19,679.3,CZK
33,20241019,1,979,3,1,1,4156.9,4156.9,1438.19,CZK
34,20240626,1,41,6,1,2,743.99,1487.98,612.0,CZK
35,20260103,2,899,5,4,2,120.41,240.81,152.35,EUR
36,20250131,2,36,3,1,2,3284.87,6569.73,3061.59,EUR
37,20240412,1,612,2,2,2,2056.08,4112.17,1906.39,CZK
38,20240220,2,1198,1,1,3,1414.77,4244.31,1764.12,EUR
39,20250930,1,1038,4,2,2,179.73,359.47,211.18,CZK
40,20251130,2,433,1,2,3,1457.74,4373.23,1768.23,EUR
41,20250727,2,901,1,1,1,2187.83,2187.83,624.01,EUR
42,20240403,2,928,4,3,1,185.29,185.29,109.82,EUR
43,20240314,1,421,1,1,2,1661.2,3322.41,1306.01,CZK
44,20240528,1,197,4,3,2,187.67,375.35,239.32,CZK
45,20250718,1,971,5,2,1,158.05,158.05,70.61,CZK
46,20250728,1,636,2,4,2,2879.67,5759.33,1873.56,CZK
47,20250921,1,427,2,3,3,2157.32,6471.96,2439.04,CZK
48,20240313,1,342,1,3,1,1574.13,1574.13,654.55,CZK
49,20240425,1,356,1,1,1,1744.45,1744.45,647.25,CZK
50,20251107,1,174,4,1,3,217.87,653.61,355.43,CZK
51,20251128,1,444,4,4,2,212.37,424.74,198.83,CZK
52,20250629,2,1160,3,1,3,4969.24,14907.73,4544.47,EUR
53,20240320,1,1090,5,1,2,146.36,292.72,142.35,CZK
54,20240221,1,453,5,3,3,115.3,345.89,229.28,CZK
55,20240211,2,572,3,3,3,3241.15,9723.45,4329.53,EUR
56,20250603,1,537,4,4,2,269.91,539.82,198.61,CZK
57,20250927,1,599,2,3,2,2101.16,4202.32,1746.96,CZK
58,20250419,2,767,6,3,3,546.59,1639.76,899.25,EUR
59,20240715,1,666,1,1,1,2134.61,2134.61,571.24,CZK
60,20250722,1,764,6,2,3,638.65,1915.96,987.15,CZK
61,20240214,2,386,2,4,3,2049.03,6147.1,2738.2,EUR
62,20250913,2,798,4,4,1,214.16,214.16,112.72,EUR
63,20251031,1,79,5,3,1,133.29,133.29,73.17,CZK
64,20250623,1,58,1,3,3,1945.11,5835.34,1903.51,CZK
65,20251022,2,1054,5,1,3,144.67,434.02,208.23,EUR
66,20250316,1,854,1,1,1,1682.75,1682.75,622.78,CZK
67,20241217,1,577,4,1,2,246.42,492.85,205.41,CZK
68,20240830,1,430,6,1,3,708.22,2124.65,957.51,CZK
69,20251123,1,87,6,1,3,568.5,1705.5,959.57,CZK
70,20250607,1,606,1,2,1,1836.24,1836.24,588.58,CZK
71,20240523,2,1134,4,1,1,206.19,206.19,110.46,EUR
72,20251219,1,533,1,1,2,1985.93,3971.86,1149.56,CZK
73,20240214,2,68,3,1,3,3347.18,10041.54,4076.69,EUR
74,20250317,2,752,2,2,1,2178.55,2178.55,808.42,EUR
75,20240523,2,822,4,3,2,195.37,390.73,227.46,EUR
76,20250513,2,869,2,1,3,2462.01,7386.04,2616.07,EUR
77,20241105,1,1160,3,1,2,4188.71,8377.42,3095.29,CZK
78,20241124,1,263,1,2,2,1446.89,2893.79,1319.1,CZK
79,20250519,1,969,2,2,1,2107.21,2107.21,876.69,CZK
80,20250721,1,638,5,1,2,180.99,361.99,149.8,CZK
81,20241012,1,469,1,2,1,1482.91,1482.91,623.51,CZK
82,20260119,2,704,4,1,1,184.95,184.95,116.64,EUR
83,20250109,2,911,1,1,1,1479.98,1479.98,673.11,EUR
84,20240430,1,1065,4,3,2,195.0,389.99,232.39,CZK
85,20240105,1,974,4,1,3,183.75,551.24,326.95,CZK
86,20240601,1,849,1,3,2,1934.74,3869.48,1141.4,CZK
87,20250603,2,151,5,2,1,154.17,154.17,68.54,EUR
88,20250209,2,37,1,3,2,1395.7,2791.41,1250.51,EUR
89,20240910,1,644,6,1,3,590.48,1771.45,815.87,CZK
90,20241227,1,887,6,1,3,663.9,1991.69,885.08,CZK
91,20250921,2,987,1,1,2,1791.3,3582.59,1315.87,EUR
92,20250305,1,563,6,3,2,529.29,1058.58,580.82,CZK
93,20240213,2,879,1,1,1,1455.17,1455.17,650.17,EUR
94,20240206,1,1087,2,2,1,1755.15,1755.15,805.1,CZK
95,20241228,1,1107,4,3,3,226.96,680.87,345.41,CZK
96,20241030,1,759,1,1,1,1696.76,1696.76,600.93,CZK
97,20250930,2,63,3,1,1,3926.18,3926.18,1347.04,EUR
98,20250313,1,252,4,1,1,205.94,205.94,106.05,CZK
99,20250722,2,1013,1,1,3,2081.94,6245.81,1750.51,EUR
100,20250315,2,1011,2,1,1,2437.57,2437.57,866.79,EUR
101,20240916,2,263,4,1,2,216.66,433.32,232.69,EUR
102,20250508,2,69,2,2,3,2095.86,6287.57,2720.71,EUR
103,20250411,2,1000,1,1,3,1793.02,5379.07,1722.35,EUR
